,Old,New,difference,ratio
124,154176.40901953125,141590.57839453124,12585.830625000002,1.08888889901933
125,150202.26982617186,122614.09656347656,27588.1732626953,1.225000012526399
126,116306.6243671875,99691.39124316406,16615.233124023434,1.1666666792069948
127,138676.87449414062,118865.89117773437,19810.983316406244,1.1666666788943167
128,135521.66698632814,96801.1897890625,38720.477197265645,1.4000000132399266
129,316763.56928125,265047.0660751953,51716.50320605468,1.1951219606837014
130,217488.67205371094,181980.31604003906,35508.35601367187,1.195121960365534
131,249462.65723828127,203642.9838349609,45819.67340332037,1.2250000100197618
132,212188.11979101563,168884.42023046874,43303.6995605469,1.2564102686408394
133,97177.18151660156,79328.31059472656,17848.870921875,1.2250000130856376
134,213246.02962402345,169726.4295419922,43519.60008203125,1.256410272692763
135,132480.28440527344,196784.14663964845,-64303.862234375,0.6732264090758877
136,112294.9953574219,89377.64792773438,22917.34742968752,1.256410276629982
137,81167.83046777344,61289.99351855469,19877.83694921875,1.3243243441231725
138,94135.87593359375,74924.4715390625,19211.404394531244,1.2564102755735183
139,114907.76277441406,91457.19738964844,23450.56538476562,1.2564102777483521
140,106232.97774023438,82384.75662011719,23848.22112011719,1.289473709682524
141,92801.43522851562,70074.55179296875,22726.88343554687,1.3243243496254125
142,80108.48395703125,45776.27552929687,34332.208427734375,1.7500000389014112
143,98937.47748828125,70669.62665820312,28267.850830078125,1.4000000023602344
144,91472.15076953125,70937.58620703124,20534.564562500003,1.2894736861016092
145,92585.81359570312,73690.74948339842,18895.064112304695,1.2564102583399768
146,85359.32440820312,81875.27018261718,3484.0542255859327,1.0425531936299568
147,95549.1804921875,93599.1969248047,1949.9835673828056,1.020833336518361
148,171317.12423437502,143536.14218066406,27780.982053710963,1.1935469466550381
149,,,,
150,,,,
151,,,,
152,134190.3481748047,86559.68436816407,47630.66380664063,1.550263834189289
153,201093.4726494141,127222.40049707031,73871.07215234378,1.5806451683329532
154,155928.60248046875,120508.812921875,35419.78955859375,1.293918666193784
155,687010.0277910156,521837.14168164064,165172.88610937493,1.316521904855409
156,185793.71555566406,152009.584125,33784.13143066407,1.222250008939455
157,,,,
158,203425.8343125,154059.35941796875,49366.474894531246,1.3204380122118915
159,188613.43229785154,134179.25339941407,54434.17889843747,1.4056825292983421
160,133292.39762890624,100204.66435644531,33087.73327246093,1.3302015278925754
161,130271.15632617187,95901.18857421874,34369.967751953125,1.3583893824772977
162,,,,
163,,,,
164,204131.0816318359,183301.3782314453,20829.7034003906,1.1136363708847294
165,187753.99703515624,168595.42493847656,19158.57209667968,1.113636370047829
166,,,,
167,173757.78821875,156027.40074804687,17730.387470703135,1.113636370186889
168,134456.64725390624,109760.52785839843,24696.119395507805,1.2250000057157904
169,147969.2949746094,114751.69735546873,33217.597619140666,1.2894736930665331
170,328512.54484082037,248060.49140722654,80452.05343359383,1.3243243330576184
171,180476.97896191408,132595.3317519531,47881.64720996097,1.3611111083422864
172,231361.46461230467,174701.51453808593,56659.95007421874,1.3243243209655549
173,301368.4192216797,200186.09895703127,101182.32026464841,1.5054412908379147
